0 , 1.4059727498344878
1 , 1.3450833976884096
2 , 1.4141193270772237
3 , 1.413909530275314
4 , 1.4142126741443473
5 , 1.377939240129659
6 , 1.3961372016115687
7 , 1.4129454393444967
8 , 1.4118448887878876
9 , 1.4139313098546362
10 , 1.4140144934932508
11 , 1.41414738353035
12 , 1.4142135051884888
13 , 1.3945898970384856
14 , 1.2757601847307574
15 , 1.4052621170172013
16 , 1.413769673626323
17 , 1.4140677892250544
18 , 1.4140299274956765
19 , 1.414193729723316
20 , 1.4142130751661908
